koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
0,0,0,0,3.38557445,1.87e-05,-1.87e-05,133.97411,0.00436,-0.00436,0.129,0.326,-0.129,1.879,0.136,-0.136,121.9,11.2,-11.2,1.63,0.42,-0.64,1476,1122.9,882.68,-749.25,13.1,1,5718,169,-152,4.069,0.42,-0.168,1.48,0.386,-0.579,300.93539,45.596539,13.767
0,1,0,0,1.053573674,1.37e-07,-1.37e-07,132.42801200000002,0.00011,-0.00011,1.308,0.07200000000000001,-0.114,1.7011599999999998,0.0032,-0.0032,3063.0,4.6,-4.6,299.87,105.1,-144.5,4319,81969.77,82744.14,-63435.92,445.3,1,5838,143,-245,3.0380000000000003,0.405,-0.135,7.385,2.589,-3.559,291.87244,42.030499,12.97
0,0,0,0,6.17817366,1.39e-05,-1.39e-05,168.8626,0.00181,-0.00181,0.775,0.047,-0.5429999999999999,3.2601,0.0544,-0.0544,101.9,2.5,-2.5,1.22,0.17,-0.19,1082,324.69,130.63,-111.84,43.5,3,5931,107,-118,4.322,0.13699999999999998,-0.112,1.101,0.157,-0.173,283.23581,41.34304,11.818
0,1,1,0,0.829019343,2.37e-06,-2.37e-06,131.46667,0.0040100000000000005,-0.0040100000000000005,0.72,0.075,-0.094,4.8401,0.0187,-0.0187,278260.0,564.0,-564.0,90.08,27.67,-14.92,2492,9089.67,8256.71,-3678.95,631.1,1,6645,186,-255,4.271,0.124,-0.18600000000000005,1.328,0.408,-0.22,296.03485,45.490822,14.661
0,1,1,0,0.664727127,6.68e-06,-6.68e-06,131.63516,0.00806,-0.00806,0.382,0.116,-0.382,1.561,0.397,-0.397,16.2,3.3,-3.3,0.46,0.07,-0.05,2343,7149.67,3165.89,-1852.86,7.6,1,6143,83,-92,4.3439999999999985,0.11,-0.121,1.116,0.189,-0.126,292.93295,40.986401,12.879
0,0,0,0,6.99205021,3.84e-05,-3.84e-05,138.05147,0.00493,-0.00493,0.944,0.006,-0.723,5.037,0.122,-0.122,33.4,1.6,-1.6,1.06,0.18,-0.2,1194,479.87,237.62,-188.6,24.4,1,6057,134,-121,4.1389999999999985,0.168,-0.112,1.467,0.25,-0.277,299.16049,41.14373,10.787
0,1,0,0,76.45315813,7.979999999999999e-05,-7.979999999999999e-05,133.986308,0.000842,-0.000842,1.26,0.5760000000000001,-0.18600000000000005,5.1822,0.0432,-0.0432,9662.2,75.8,-75.8,22.89,1.1,-1.49,291,1.7,0.4,-0.4,151.8,1,4831,144,-158,4.713,0.049,-0.025,0.54,0.026,-0.035,290.98013,39.186489,15.312
0,1,1,1,5.26641416,1.42e-05,-1.42e-05,131.69998,0.0023,-0.0023,0.774,0.151,-0.537,2.4404,0.0784,-0.0784,223.8,7.2,-7.2,2.62,0.55,-0.67,1421,964.18,588.44,-486.62,37.8,1,6338,155,-174,4.087,0.228,-0.123,1.602,0.335,-0.41,293.96725,42.833279,12.859000000000002
0,0,0,0,34.650636799999994,0.0005167999999999999,-0.0005167999999999999,143.0279,0.0133,-0.0133,0.973,3.83,-0.114,10.287,0.713,-0.713,502.5,32.9,-32.9,12.35,1.64,-4.94,1191,476.15,204.06,-324.24,21.6,1,6681,180,-200,3.465,0.36,-0.09,4.185,0.5579999999999999,-1.673,296.73676,41.00066,12.954
0,1,0,0,1.7525628080000002,5.2e-08,-5.2e-08,132.7222455,2.44e-05,-2.44e-05,0.545,0.002,-0.003,6.1245,0.00156,-0.00156,368000.0,77.7,-77.7,124.23,27.55,-55.16,2018,3915.22,2508.22,-2830.42,5494.6,1,5853,140,-158,3.971,0.42,-0.14,1.795,0.398,-0.797,298.79889,42.390888,11.388
